"sample"	"env"	"dataset"
"Buccal.mucosa..159591683"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..159207311"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..160178356"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..160643649"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..158337416"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..158802708"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..158883629"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..159005010"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..159247771"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..160704339"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..160380657"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..246515023"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..159753524"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..158479027"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..159632143"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..160502038"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..159369152"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..158742018"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..160158126"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..159814214"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..159551223"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..159268001"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..158499257"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..159611913"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..158944319"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..638754422"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..809635352"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..370425937"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..604812005"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..158458797"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..763961826"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..763577454"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..763496533"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..763759525"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..764062976"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..765034022"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..765074482"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..823052294"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..764588959"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..763840445"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..763901136"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..764224817"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..763435843"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..338793263"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..764143897"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..764508039"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..764487809"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..765701615"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..765620695"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..764083206"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..764042746"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..764649650"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..764325968"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..765337473"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..765013792"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..764892411"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..404239096"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..706846339"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..763982056"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..764305738"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..763860675"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..861967750"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..765560005"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..763820215"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..737052003"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..764811490"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..763536994"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..550534656"	"Buccal.mucosa"	"HMP"
"Buccal.mucosa..686765762"	"Buccal.mucosa"	"HMP"
"Posterior.fornix..159713063"	"Posterior.fornix"	"HMP"
"Posterior.fornix..160319967"	"Posterior.fornix"	"HMP"
"Posterior.fornix..160582958"	"Posterior.fornix"	"HMP"
"Posterior.fornix..160643649"	"Posterior.fornix"	"HMP"
"Posterior.fornix..158337416"	"Posterior.fornix"	"HMP"
"Posterior.fornix..158883629"	"Posterior.fornix"	"HMP"
"Posterior.fornix..158256496"	"Posterior.fornix"	"HMP"
"Posterior.fornix..159247771"	"Posterior.fornix"	"HMP"
"Posterior.fornix..160704339"	"Posterior.fornix"	"HMP"
"Posterior.fornix..159227541"	"Posterior.fornix"	"HMP"
"Posterior.fornix..246515023"	"Posterior.fornix"	"HMP"
"Posterior.fornix..159753524"	"Posterior.fornix"	"HMP"
"Posterior.fornix..160502038"	"Posterior.fornix"	"HMP"
"Posterior.fornix..158742018"	"Posterior.fornix"	"HMP"
"Posterior.fornix..158944319"	"Posterior.fornix"	"HMP"
"Posterior.fornix..638754422"	"Posterior.fornix"	"HMP"
"Posterior.fornix..809635352"	"Posterior.fornix"	"HMP"
"Posterior.fornix..370425937"	"Posterior.fornix"	"HMP"
"Posterior.fornix..763577454"	"Posterior.fornix"	"HMP"
"Posterior.fornix..763759525"	"Posterior.fornix"	"HMP"
"Posterior.fornix..764062976"	"Posterior.fornix"	"HMP"
"Posterior.fornix..508703490"	"Posterior.fornix"	"HMP"
"Posterior.fornix..764588959"	"Posterior.fornix"	"HMP"
"Posterior.fornix..763840445"	"Posterior.fornix"	"HMP"
"Posterior.fornix..763901136"	"Posterior.fornix"	"HMP"
"Posterior.fornix..338793263"	"Posterior.fornix"	"HMP"
"Posterior.fornix..764143897"	"Posterior.fornix"	"HMP"
"Posterior.fornix..765620695"	"Posterior.fornix"	"HMP"
"Posterior.fornix..764042746"	"Posterior.fornix"	"HMP"
"Posterior.fornix..764649650"	"Posterior.fornix"	"HMP"
"Posterior.fornix..765337473"	"Posterior.fornix"	"HMP"
"Posterior.fornix..765013792"	"Posterior.fornix"	"HMP"
"Posterior.fornix..706846339"	"Posterior.fornix"	"HMP"
"Posterior.fornix..763820215"	"Posterior.fornix"	"HMP"
"Posterior.fornix..737052003"	"Posterior.fornix"	"HMP"
"Posterior.fornix..764811490"	"Posterior.fornix"	"HMP"
"Posterior.fornix..550534656"	"Posterior.fornix"	"HMP"
"Posterior.fornix..765640925"	"Posterior.fornix"	"HMP"
"Tongue.dorsum..159571453"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159713063"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159915365"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..160319967"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..160400887"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..160582958"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..160603188"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..160765029"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159591683"	"Tongue.dorsum"	"HMP"
"Tongue.dorsum..159207311"	"Tongue.dorsum"	"HMP"
